threshold,f1_weighted,f1_macro,f1_safe,f1_mal,recall_safe
0.1,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.11,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.12,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.13,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.14,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.15,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.16,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.17,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.18,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.19,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.2,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.21,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.22,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.23,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.24,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.25,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.26,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.27,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.28,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.29,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.3,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.31,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
0.32,0.9975284044375402,0.9973656568230502,0.9980171844018506,0.9967141292442497,0.996042216358839
